institute code,institute name,branch code,course name,status,university,category,rank,percentile,gender,quota,category(1),branch,year,cap round
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous,Unknown,GOPENS,31618,90.6688280,G,S,OPEN,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous,Unknown,GSCS,53254,84.0359888,G,S,SC,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous,Unknown,GNT1S,49466,85.1919561,G,S,NT1,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous,Unknown,GSEBCS,73539,77.1618860,G,S,SEBC,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous,Unknown,LSCS,41066,87.9159305,L,S,SC,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous,Unknown,LSEBCS,91727,70.6189283,L,S,SEBC,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100224210,Computer Science and Engineering,Government Autonomous,Unknown,GOPENS,10017,97.1220006,G,S,OPEN,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100224210,Computer Science and Engineering,Government Autonomous,Unknown,GOBCS,11290,96.7783105,G,S,OBC,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100224610,Information Technology,Government Autonomous,Unknown,GOPENS,13634,96.0780932,G,S,OPEN,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100224610,Information Technology,Government Autonomous,Unknown,GVJS,26351,92.3341523,G,S,VJ,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100224610,Information Technology,Government Autonomous,Unknown,GNT2S,23636,93.1055879,G,S,NT2,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100224610,Information Technology,Government Autonomous,Unknown,GOBCS,14798,95.7536628,G,S,OBC,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100224610,Information Technology,Government Autonomous,Unknown,LOPENS,12774,96.3424067,L,S,OPEN,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100224610,Information Technology,Government Autonomous,Unknown,LOBCS,15087,95.6472486,L,S,OBC,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100224610,Information Technology,Government Autonomous,Unknown,TFWS,14372,95.8681150,T,S,TFWS,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100224610,Information Technology,Government Autonomous,Unknown,EWS,18334,94.7364547,E,S,EWS,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100229310,Electrical Engineering,Government Autonomous,Unknown,GOPENS,27004,92.0769231,G,S,OPEN,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100229310,Electrical Engineering,Government Autonomous,Unknown,GSCS,29152,91.4450061,G,S,SC,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100229310,Electrical Engineering,Government Autonomous,Unknown,GSEBCS,50107,85.0571556,G,S,SEBC,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100229310,Electrical Engineering,Government Autonomous,Unknown,LOPENS,24597,92.8376317,L,S,OPEN,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100229310,Electrical Engineering,Government Autonomous,Unknown,LOBCS,26902,92.1231015,L,S,OBC,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100229310,Electrical Engineering,Government Autonomous,Unknown,DEFOPENS,64751,80.3531469,D,S,OPEN,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100229310,Electrical Engineering,Government Autonomous,Unknown,DEFROBCS,174647,26.7336064,D,S,OBC,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100229310,Electrical Engineering,Government Autonomous,Unknown,EWS,71160,78.2722320,E,S,EWS,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100229310,Electrical Engineering,Government Autonomous,Unknown,ORPHAN,27160,92.0737359,O,N,ORPHAN,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100237210,Electronics and Telecommunication Engg,Government Autonomous,Unknown,GOPENS,14271,95.9185080,G,S,OPEN,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100237210,Electronics and Telecommunication Engg,Government Autonomous,Unknown,GSTS,65065,80.0000000,G,S,ST,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100237210,Electronics and Telecommunication Engg,Government Autonomous,Unknown,GOBCS,16933,95.1095384,G,S,OBC,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100237210,Electronics and Telecommunication Engg,Government Autonomous,Unknown,GSEBCS,33196,90.1729075,G,S,SEBC,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100237210,Electronics and Telecommunication Engg,Government Autonomous,Unknown,TFWS,15807,95.4261304,T,S,TFWS,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100237210,Electronics and Telecommunication Engg,Government Autonomous,Unknown,"DEFRSEBC
S",96522,68.9620341,D,S,SEBC,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100246610,Instrumentation Engineering,Government Autonomous,Unknown,GOPENS,36139,89.2945239,G,S,OPEN,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100246610,Instrumentation Engineering,Government Autonomous,Unknown,GVJS,72602,77.5384615,G,S,VJ,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100246610,Instrumentation Engineering,Government Autonomous,Unknown,GOBCS,41730,87.6322867,G,S,OBC,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100246610,Instrumentation Engineering,Government Autonomous,Unknown,TFWS,43334,87.1376478,T,S,TFWS,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100246610,Instrumentation Engineering,Government Autonomous,Unknown,EWS,104736,65.6307130,E,S,EWS,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100246610,Instrumentation Engineering,Government Autonomous,Unknown,DEFOPENS,41794,87.6322867,D,S,OPEN,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100246610,Instrumentation Engineering,Government Autonomous,Unknown,PWDOPENS,39414,88.3176594,P,S,PWD,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100261210,Mechanical Engineering,Government Autonomous,Unknown,GOPENS,26387,92.2706158,G,S,OPEN,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100261210,Mechanical Engineering,Government Autonomous,Unknown,GSTS,85674,73.1347962,G,S,ST,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100261210,Mechanical Engineering,Government Autonomous,Unknown,GNT1S,35310,89.6391842,G,S,NT1,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100261210,Mechanical Engineering,Government Autonomous,Unknown,GNT3S,49949,85.0571556,G,S,NT3,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100261210,Mechanical Engineering,Government Autonomous,Unknown,GOBCS,32705,90.4110066,G,S,OBC,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100261210,Mechanical Engineering,Government Autonomous,Unknown,LOPENS,28486,91.6995640,L,S,OPEN,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100261210,Mechanical Engineering,Government Autonomous,Unknown,LNT2S,70691,78.4242636,L,S,NT2,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100261210,Mechanical Engineering,Government Autonomous,Unknown,TFWS,36832,89.1476381,T,S,TFWS,B.Tech,2025,3
'01002,"Government College of Engineering, Amravati",'0100261210,Mechanical Engineering,Government Autonomous,Unknown,EWS,81885,74.0630785,E,S,EWS,B.Tech,2025,3
'01005,"Sant Gadge Baba Amravati University,Amravati",'0100550310,Food Technology,University Department,Unknown,GOBCH,61965,82.4696038,G,H,OBC,B.Tech,2025,3
'01005,"Sant Gadge Baba Amravati University,Amravati",'0100550310,Food Technology,University Department,Unknown,LOBCH,56460,84.3005134,L,H,OBC,B.Tech,2025,3
'01005,"Sant Gadge Baba Amravati University,Amravati",'0100551710,Oil and Paints Technology,University Department,Unknown,GOPENO,30155,91.7720943,G,O,OPEN,B.Tech,2025,3
'01005,"Sant Gadge Baba Amravati University,Amravati",'0100551710,Oil and Paints Technology,University Department,Unknown,GSCO,36428,90.0233934,G,O,SC,B.Tech,2025,3
'01005,"Sant Gadge Baba Amravati University,Amravati",'0100551710,Oil and Paints Technology,University Department,Unknown,GNT1O,97708,70.9247292,G,O,NT1,B.Tech,2025,3
'01005,"Sant Gadge Baba Amravati University,Amravati",'0100551710,Oil and Paints Technology,University Department,Unknown,GSEBCO,100151,70.0246042,G,O,SEBC,B.Tech,2025,3
'01005,"Sant Gadge Baba Amravati University,Amravati",'0100552410,Paper and Pulp Technology,University Department,Unknown,GOPENH,152507,42.2674623,G,H,OPEN,B.Tech,2025,3
'01005,"Sant Gadge Baba Amravati University,Amravati",'0100552410,Paper and Pulp Technology,University Department,Unknown,LOPENH,180133,22.8214173,L,H,OPEN,B.Tech,2025,3
