institute code,institute name,branch code,course name,status,university,category,rank,percentile,gender,quota,category(1),branch,year,cap round
'01005,"Sant Gadge Baba Amravati University,Amravati",'0100552710,Petro Chemical Engineering,University Department,Unknown,GOPENH,203123,0.9371709,G,H,OPEN,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,GOPENH,93852,69.8941051,G,H,OPEN,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,GSCH,106305,64.7148712,G,H,SC,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,GVJH,102744,66.2972028,G,H,VJ,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,GNT3H,140318,49.1540892,G,H,NT3,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,GOBCH,110571,63.2000580,G,H,OBC,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,GSEBCH,201943,2.5131625,G,H,SEBC,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,LOPENH,99478,67.8236662,L,H,OPEN,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,LOBCH,131452,53.2657343,L,H,OBC,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,LNT1H,138179,49.7291102,L,H,NT1,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,PWDOPENH,93902,69.8498837,P,H,PWD,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,PWDOBCH,108792,63.5767823,P,H,PWD,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101224510,Computer Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,GOPENH,47359,85.9011570,G,H,OPEN,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101224510,Computer Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,GSCH,56585,82.8811189,G,H,SC,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101224510,Computer Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,GVJH,71846,78.1688442,G,H,VJ,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101224510,Computer Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,GNT2H,68324,79.0279720,G,H,NT2,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101224510,Computer Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,GOBCH,55537,83.2103258,G,H,OBC,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101224510,Computer Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,GSEBCH,60109,81.8021201,G,H,SEBC,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101224510,Computer Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,LOPENH,53625,83.9020979,L,H,OPEN,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101224510,Computer Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,LOBCH,65315,79.9894700,L,H,OBC,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101224510,Computer Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,PWDOPENH,53222,84.0359888,P,H,PWD,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101229310,Electrical Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,GOPENH,66482,79.7185003,G,H,OPEN,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101229310,Electrical Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,GSCH,125162,56.5039753,G,H,SC,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101229310,Electrical Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,GOBCH,106823,64.3871019,G,H,OBC,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101229310,Electrical Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,LOPENH,87783,72.1028020,L,H,OPEN,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101229310,Electrical Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,LOBCH,99429,67.8236662,L,H,OBC,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101229310,Electrical Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,LSEBCH,116300,60.4378874,L,H,SEBC,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101229310,Electrical Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,PWDOBCH,99519,67.8236662,P,H,PWD,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101237210,Electronics and Telecommunication Engg,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,GOPENH,69456,78.6137148,G,H,OPEN,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101237210,Electronics and Telecommunication Engg,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,GSCH,97939,68.3753318,G,H,SC,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101237210,Electronics and Telecommunication Engg,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,GNT1H,121762,57.8195751,G,H,NT1,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101237210,Electronics and Telecommunication Engg,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,GNT2H,97186,68.4887011,G,H,NT2,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101237210,Electronics and Telecommunication Engg,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,GOBCH,81515,74.5404987,G,H,OBC,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101237210,Electronics and Telecommunication Engg,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,GSEBCH,195138,9.8110718,G,H,SEBC,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101237210,Electronics and Telecommunication Engg,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,LOPENH,77276,75.6538462,L,H,OPEN,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101237210,Electronics and Telecommunication Engg,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,LOBCH,83870,73.6159498,L,H,OBC,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101237210,Electronics and Telecommunication Engg,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,LSEBCH,191070,13.6137728,L,H,SEBC,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101237210,Electronics and Telecommunication Engg,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,PWDOBCH,81037,74.9785452,P,H,PWD,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101237210,Electronics and Telecommunication Engg,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,LSTH,81666,74.5404987,L,H,ST,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101261210,Mechanical Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,GOPENH,108975,63.5767823,G,H,OPEN,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101261210,Mechanical Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,GSCH,123862,57.0133407,G,H,SC,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101261210,Mechanical Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,GNT3H,156581,39.3601986,G,H,NT3,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101261210,Mechanical Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,GOBCH,113407,61.6834321,G,H,OBC,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101261210,Mechanical Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,GSEBCH,150536,43.1964993,G,H,SEBC,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101261210,Mechanical Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,LOPENH,136685,50.5909012,L,H,OPEN,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101261210,Mechanical Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,LOBCH,138767,49.4020979,L,H,OBC,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101261210,Mechanical Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,LNT1H,120939,58.4401523,L,H,NT1,B.Tech,2025,3
'01012,"Government College of Engineering,Yavatmal",'0101261210,Mechanical Engineering,Government Home University : Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,PWDOPENH,102201,66.3866132,P,H,PWD,B.Tech,2025,3
'01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",'0110124210,Computer Science and Engineering,Un-Aided,Unknown,GOPENH,19760,94.2892243,G,H,OPEN,B.Tech,2025,3
'01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",'0110124210,Computer Science and Engineering,Un-Aided,Unknown,PWDSEBCH,39435,88.3176594,P,H,PWD,B.Tech,2025,3
'01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",'0110124610,Information Technology,Un-Aided,Unknown,GOPENH,20575,94.0166833,G,H,OPEN,B.Tech,2025,3
'01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",'0110124610,Information Technology,Un-Aided,Unknown,GSEBCH,39710,88.2484746,G,H,SEBC,B.Tech,2025,3
'01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",'0110124610,Information Technology,Un-Aided,Unknown,"PWDROBC
H",90718,71.1730870,P,H,PWD,B.Tech,2025,3
'01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",'0110135610,Electrical Engg[Electronics and Power],Un-Aided,Unknown,GOPENH,41097,87.9159305,G,H,OPEN,B.Tech,2025,3
'01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",'0110135610,Electrical Engg[Electronics and Power],Un-Aided,Unknown,LSCH,86350,72.7429418,L,H,SC,B.Tech,2025,3
'01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",'0110137210,Electronics and Telecommunication Engg,Un-Aided,Unknown,GOPENH,32088,90.6221224,G,H,OPEN,B.Tech,2025,3
'01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",'0110137210,Electronics and Telecommunication Engg,Un-Aided,Unknown,GOBCH,33076,90.3035355,G,H,OBC,B.Tech,2025,3
'01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",'0110137210,Electronics and Telecommunication Engg,Un-Aided,Unknown,LOPENH,29443,91.3593874,L,H,OPEN,B.Tech,2025,3
'01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",'0110137210,Electronics and Telecommunication Engg,Un-Aided,Unknown,LSCH,64301,80.4732503,L,H,SC,B.Tech,2025,3
'01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",'0110137210,Electronics and Telecommunication Engg,Un-Aided,Unknown,PWDOPENH,30254,91.0751777,P,H,PWD,B.Tech,2025,3
'01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",'0110137210,Electronics and Telecommunication Engg,Un-Aided,Unknown,GSTH,33121,90.2494890,G,H,ST,B.Tech,2025,3
'01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",'0110137210,Electronics and Telecommunication Engg,Un-Aided,Unknown,LSTH,35892,89.3717407,L,H,ST,B.Tech,2025,3
'01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",'0110161210,Mechanical Engineering,Un-Aided,Unknown,GVJH,104413,65.6692751,G,H,VJ,B.Tech,2025,3
'01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",'0110161210,Mechanical Engineering,Un-Aided,Unknown,LOBCH,50239,84.9728618,L,H,OBC,B.Tech,2025,3
'01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110519110,Civil Engineering,Un-Aided Autonomous,Unknown,GOPENS,74539,76.9322569,G,S,OPEN,B.Tech,2025,3
'01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110519110,Civil Engineering,Un-Aided Autonomous,Unknown,GSCS,89738,71.4842352,G,S,SC,B.Tech,2025,3
'01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110519110,Civil Engineering,Un-Aided Autonomous,Unknown,GSTS,138131,49.7291102,G,S,ST,B.Tech,2025,3
'01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110519110,Civil Engineering,Un-Aided Autonomous,Unknown,GVJS,78118,75.6075065,G,S,VJ,B.Tech,2025,3
'01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110519110,Civil Engineering,Un-Aided Autonomous,Unknown,GOBCS,86614,72.6730266,G,S,OBC,B.Tech,2025,3
'01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110519110,Civil Engineering,Un-Aided Autonomous,Unknown,LOPENS,64899,80.0000000,L,S,OPEN,B.Tech,2025,3
'01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110519110,Civil Engineering,Un-Aided Autonomous,Unknown,LSTS,181368,22.0358020,L,S,ST,B.Tech,2025,3
'01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110519110,Civil Engineering,Un-Aided Autonomous,Unknown,LSEBCS,135918,50.8281802,L,S,SEBC,B.Tech,2025,3
'01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110519110,Civil Engineering,Un-Aided Autonomous,Unknown,DEFOPENS,81753,74.5404987,D,S,OPEN,B.Tech,2025,3
'01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110519110,Civil Engineering,Un-Aided Autonomous,Unknown,DEFSCS,94364,69.4936445,D,S,SC,B.Tech,2025,3
'01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110524210,Computer Science and Engineering,Un-Aided Autonomous,Unknown,GOPENS,30546,91.0510720,G,S,OPEN,B.Tech,2025,3
'01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110524210,Computer Science and Engineering,Un-Aided Autonomous,Unknown,GSCS,49510,85.1919561,G,S,SC,B.Tech,2025,3
'01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110524210,Computer Science and Engineering,Un-Aided Autonomous,Unknown,GSTS,70301,78.4342571,G,S,ST,B.Tech,2025,3
'01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110524210,Computer Science and Engineering,Un-Aided Autonomous,Unknown,GVJS,44057,86.9194446,G,S,VJ,B.Tech,2025,3
'01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110524210,Computer Science and Engineering,Un-Aided Autonomous,Unknown,GNT3S,48005,85.6421968,G,S,NT3,B.Tech,2025,3
'01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110524210,Computer Science and Engineering,Un-Aided Autonomous,Unknown,GOBCS,33663,90.1133687,G,S,OBC,B.Tech,2025,3
'01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110524210,Computer Science and Engineering,Un-Aided Autonomous,Unknown,GSEBCS,45514,86.5435447,G,S,SEBC,B.Tech,2025,3
'01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110524210,Computer Science and Engineering,Un-Aided Autonomous,Unknown,LOPENS,23344,93.2101568,L,S,OPEN,B.Tech,2025,3
'01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110524210,Computer Science and Engineering,Un-Aided Autonomous,Unknown,LNT2S,40867,87.9272878,L,S,NT2,B.Tech,2025,3
'01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110524210,Computer Science and Engineering,Un-Aided Autonomous,Unknown,PWDOBCS,185319,18.9335664,P,S,PWD,B.Tech,2025,3
'01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110524210,Computer Science and Engineering,Un-Aided Autonomous,Unknown,DEFSCS,172031,28.9513426,D,S,SC,B.Tech,2025,3
'01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110524210,Computer Science and Engineering,Un-Aided Autonomous,Unknown,EWS,48708,85.4179037,E,S,EWS,B.Tech,2025,3
'01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110524610,Information Technology,Un-Aided Autonomous,Unknown,GOPENS,36534,89.2727273,G,S,OPEN,B.Tech,2025,3
'01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110524610,Information Technology,Un-Aided Autonomous,Unknown,GSCS,49936,85.1002266,G,S,SC,B.Tech,2025,3
'01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110524610,Information Technology,Un-Aided Autonomous,Unknown,GSTS,158863,38.2479385,G,S,ST,B.Tech,2025,3
